tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	JAAZBM01	JAAZBM01	JAAZBM01 sp012513815	NrdD	NrdDc
Bacteria	Sumerlaeota	Sumerlaeia	MWCT01	MWCT01	MWCT01	MWCT01 sp002070185	NrdD	NrdDd
Bacteria	Sumerlaeota	Sumerlaeia	JABWBI01	JABWBI01	JABWBI01	JABWBI01 sp013360565	NrdJ	NrdJd
Bacteria	Sumerlaeota	Sumerlaeia	SLMS01	SLMS01	SLMS01	SLMS01 sp007132505	NrdJ	NrdJd
Bacteria	Sumerlaeota	Sumerlaeia	SLMS01	SLMS01	SLMS01	SLMS01 sp007133495	NrdJ	NrdJd
Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	Pyramidobacter sp002007215	NrdD	NrdDc
Bacteria	Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Fretibacterium	Fretibacterium sp012520235	NrdD	NrdDc
Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	Pyramidobacter piscolens	NrdD	NrdDc
Bacteria	Synergistota	Synergistia	Synergistales	Dethiosulfovibrionaceae	Pyramidobacter	Pyramidobacter sp009695745	NrdD	NrdDc
Bacteria	Synergistota	Synergistia	Synergistales	Aminobacteriaceae	Fretibacterium	Fretibacterium fastidiosum	NrdD	NrdDc
Bacteria	SZUA-182	SZUA-182	SZUA-182	SZUA-191	SZUA-191	SZUA-191 sp003230535	NrdD	NrdDf
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	SZUA-79	Acidulodesulfobacterium	Acidulodesulfobacterium sp003232385	NrdD	NrdDd
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	SZUA-79	Acidulodesulfobacterium	Acidulodesulfobacterium ferriphilum	NrdJ	NrdJuc02
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	SZUA-79	Acidulodesulfobacterium	Acidulodesulfobacterium acidiphilum	NrdJ	NrdJuc02
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	SZUA-79	Acididesulfobacter	Acididesulfobacter diazotrophicus	NrdJ	NrdJuc02
Bacteria	SZUA-79	SZUA-79	Acidulodesulfobacterales	SZUA-79	Acididesulfobacter	Acididesulfobacter guangdongensis	NrdJ	NrdJuc02
Bacteria	T1SED10-198M	T1SED10-198M	T1SED10-198M	T1SED10-198M	T1SED10-198M	T1SED10-198M sp003554345	NrdD	NrdDd
Bacteria	TA06	DG-26	E44-bin18	E44-bin18	E44-bin18	E44-bin18 sp004376575	NrdJ	NrdJuc02
Bacteria	TA06_A	DG-26_A	SM23-81	SM23-81	SM23-81	SM23-81 sp001304015	NrdJ	NrdJuc02
Bacteria	Tectomicrobia	Entotheonellia	Entotheonellales	Entotheonellaceae	Entotheonella	Entotheonella palauensis	NrdJ	NrdJd
Bacteria	Tectomicrobia	Entotheonellia	Entotheonellales	Entotheonellaceae	SXND01	SXND01 sp005777235	NrdJ	NrdJd
Bacteria	Tectomicrobia	Entotheonellia	Entotheonellales	Entotheonellaceae	Entotheonella	Entotheonella factor	NrdJ	NrdJd
Bacteria	Tectomicrobia	Entotheonellia	J063	J063	J063	J063 sp003696125	NrdJ	NrdJk
Bacteria	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobiaceae	Thermodesulfobium	Thermodesulfobium narugense	NrdD	NrdDd
Bacteria	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobiaceae	Thermodesulfobium	Thermodesulfobium narugense_A	NrdD	NrdDd
Bacteria	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobiaceae	Thermodesulfobium	Thermodesulfobium acidiphilum	NrdD	NrdDd
Archaea	Thermoplasmatota	Poseidoniia_A	Poseidoniales	Poseidoniaceae	Poseidonia	Poseidonia sp002726495	NrdA	NrdAe
Archaea	Thermoplasmatota	Poseidoniia_A	Poseidoniales	Thalassarchaeaceae	MGIIb-N2	MGIIb-N2 sp002708695	NrdA	NrdAe
Archaea	Thermoplasmatota	Poseidoniia_A	Poseidoniales	Poseidoniaceae	MGIIa-L2	MGIIa-L2 sp002722615	NrdA	NrdAe
Archaea	Thermoplasmatota	Poseidoniia_A	Poseidoniales	Poseidoniaceae	MGIIa-K1	MGIIa-K1 sp002727695	NrdA	NrdAe
Archaea	Thermoplasmatota	Poseidoniia_A	Poseidoniales	Poseidoniaceae	MGIIa-L1	MGIIa-L1 sp9513u	NrdA	NrdAe
Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopelagicus	Nitrosopelagicus sp902606945	NrdA	NrdAr
Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	UBA183	CADDZR01	CADDZR01 sp902812495	NrdA	NrdAz
Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	PALSA-986	PALSA-986 sp009781675	NrdD	NrdDd
Archaea	Thermoproteota	Bathyarchaeia	B26-1	WUQV01	WUQV01	WUQV01 sp009889585	NrdD	NrdDd
Archaea	Thermoproteota	Bathyarchaeia	B26-1	UBA233	PIYA01	PIYA01 sp003662325	NrdD	NrdDd
Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	Thermosulfidibacteraceae	Thermosulfidibacter	Thermosulfidibacter takaii	NrdD	NrdDd
Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	B14-G1	B14-G1	B14-G1 sp011039915	NrdD	NrdDd
Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	B14-G1	B14-G1	B14-G1 sp003648675	NrdD	NrdDd
Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	Thermosulfidibacteraceae	JAADEW01	JAADEW01 sp013153205	NrdD	NrdDd
Bacteria	Thermosulfidibacterota	Thermosulfidibacteria	Thermosulfidibacterales	Thermosulfidibacteraceae	JAADEW01	JAADEW01 sp013153205	NrdJ	NrdJuc02
Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_B	Pseudothermotoga_B profunda	NrdD	NrdDd
Bacteria	Thermotogota	Thermotogae	Petrotogales	Kosmotogaceae	UBA9910	UBA9910 sp003444085	NrdD	NrdDd
Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Pseudothermotoga_A	Pseudothermotoga_A sp011057685	NrdD	NrdDd
Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga lauensis	NrdD	NrdDd
Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	UBA5851	UBA5851 sp002431635	NrdD	NrdDd
Bacteria	UBA10199	UBA10199	2-02-FULL-50-16	2-02-FULL-50-16	2-02-FULL-50-16	2-02-FULL-50-16 sp001798715	NrdJ	NrdJd
Bacteria	UBA10199	UBA10199	GCA-002796325	1-14-0-20-49-13	CAIPVD01	CAIPVD01 sp903868375	NrdJ	NrdJd
Bacteria	UBA10199	UBA10199	2-02-FULL-44-16	2-02-FULL-44-16	2-02-FULL-44-16	2-02-FULL-44-16 sp001798185	NrdJ	NrdJd
Bacteria	UBA10199	UBA10199	GCA-002796325	1-14-0-20-47-16	1-14-0-20-47-16	1-14-0-20-47-16 sp002796325	NrdJ	NrdJd
Bacteria	UBA10199	UBA10199	UBA10199	2-12-FULL-40-28	2-12-FULL-40-28	2-12-FULL-40-28 sp001798135	NrdJ	NrdJd
Bacteria	UBA2233	UBA2233	UBA2233	UBA2233	UBA2233	UBA2233 sp002347965	NrdJ	NrdJuc02
Bacteria	UBA3054	UBA3054	UBA3054	UBA3054	UBA3054	UBA3054 sp002366995	NrdD	NrdDc
Bacteria	UBA3054	UBA3054	UBA3054	B51-G9	JAAYZF01	JAAYZF01 sp012514975	NrdJ	NrdJuc01
Bacteria	UBA3054	UBA3054	UBA3054	B51-G9	B51-G9	B51-G9 sp003648225	NrdJ	NrdJuc01
Bacteria	UBA6262	UBA6262	UBA6262	UBA6262	Fen-1174	Fen-1174 sp003153935	NrdD	NrdDf
Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	WVXT01 sp009619095	NrdD	NrdDf
Bacteria	UBA6262	UBA6262	UBA6262	UBA6262	UBA6262	UBA6262 sp002441095	NrdD	NrdDf
Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	WVXT01 sp011773355	NrdD	NrdDf
Bacteria	UBA6262	UBA6262	WVXT01	WVXT01	WVXT01	WVXT01 sp009619095	NrdJ	NrdJuc02
