tdomain	tphylum	tclass	torder	tfamily	tgenus	tspecies	pclass	psubclass
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	UphvI-Ar2	UphvI-Ar2 sp013823945	NrdA	NrdAh
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	GBS-DC	GBS-DC	GBS-DC sp011054145	NrdA	NrdAi
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	GBS-DC	LDYB01	LDYB01 sp001442985	NrdA	NrdAi
Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	GBS-DC	GBS-DC	GBS-DC sp011380455	NrdA	NrdAi
Bacteria	ARS69	ARS69	ARS69	ARS69	ARS69	ARS69 sp002686915	NrdJ	NrdJd
Archaea	Asgardarchaeota	Lokiarchaeia	CR-4	SOKP01	SOKP01	SOKP01 sp013375485	NrdA	NrdAi
Archaea	Asgardarchaeota	Heimdallarchaeia	LC-3	LC-3	LC-3	LC-3 sp001940645	NrdD	NrdDc
Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales	JABXJV01	JABXJV01	JABXJV01 sp013375355	NrdD	NrdDd
Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales	RDOG01	RDOG01	RDOG01 sp011365055	NrdD	NrdDd
Archaea	Asgardarchaeota	Heimdallarchaeia	LC-3	B3-JM-08	B3-JM-08	B3-JM-08 sp011364965	NrdD	NrdDd
Bacteria	Aureabacteria	SURF-26	SURF-26	SURF-26	SURF-26	SURF-26 sp003599815	NrdA	NrdAz
Bacteria	Aureabacteria	UBA6266	UBA6266	UBA6266	UBA6266	UBA6266 sp002440765	NrdD	NrdDf
Bacteria	Aureabacteria	SURF-26	SURF-26	SURF-26	SURF-26	SURF-26 sp003599815	NrdJ	NrdJuc02
Bacteria	Aureabacteria_A	PUNC01	PUNC01	PUNC01	PUNC01	PUNC01 sp003551625	NrdJ	NrdJuc02
Bacteria	B130-G9	B130-G9	B130-G9	B130-G9	B130-G9	B130-G9 sp003647755	NrdD	NrdDf
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Emticicia	Emticicia aquatilis	NrdA	NrdAe
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Sinomicrobium	Sinomicrobium pectinilyticum	NrdA	NrdAe
Bacteria	Bacteroidota	Bacteroidia	AKYH767	2-12-FULL-35-15	2-12-FULL-35-15	2-12-FULL-35-15 sp903870175	NrdA	NrdAe
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroserpens	Psychroserpens jangbogonensis	NrdA	NrdAe
Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	UBA7446	UBA7446 sp002478685	NrdA	NrdAe
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	BSW11-IV	BSW11-IV sp000447755	NrdA	NrdAe
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	DB6-IX	DB6-IX sp000443995	NrdA	NrdAe
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	GCA-2706205	GCA-2706205 sp002706205	NrdA	NrdAe
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Halobacteriovorax	Halobacteriovorax sp004006665	NrdA	NrdAe
Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	GCA-2713145	GCA-2713145 sp002713145	NrdA	NrdAe
Bacteria	Bdellovibrionota_C	UBA2361	SZUA-149	SZUA-149	SZUA-149	SZUA-149 sp003230795	NrdA	NrdAz
Bacteria	Bdellovibrionota_C	UBA2361	UBA2361	RFPC01	RFPC01	RFPC01 sp009926305	NrdA	NrdAz
Bacteria	Bdellovibrionota_C	UBA2361	UBA2361	UBA2361	OMII01	OMII01 sp900299055	NrdA	NrdAz
Bacteria	Bdellovibrionota_C	UBA2361	UBA2361	J046	J046	J046 sp003696425	NrdA	NrdAz
Bacteria	Bdellovibrionota_C	UBA2361	UBA2361	UBA2361	OMII01	OMII01 sp900299035	NrdA	NrdAz
Bacteria	Bipolaricaulota	Bipolaricaulia	UBA7950	UBA9294	UBA9294	UBA9294 sp003545155	NrdD	NrdDd
Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	B1SED10-245	B1SED10-245 sp003552425	NrdD	NrdDd
Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	DTER01	DTER01 sp011371555	NrdD	NrdDd
Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	Bipolaricaulis	Bipolaricaulis sp014360985	NrdD	NrdDd
Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	Bipolaricaulis	Bipolaricaulis anaerobius	NrdD	NrdDd
Bacteria	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3ABIN14	BMS3ABIN14 sp013151915	NrdD	NrdDd
Bacteria	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3ABIN14	BMS3ABIN14 sp013151915	NrdJ	NrdJuc02
Bacteria	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3Abin14	SZUA-204	SZUA-204 sp003228585	NrdJ	NrdJuc02
Bacteria	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3Abin14	BMS3ABIN14	BMS3ABIN14 sp002897695	NrdJ	NrdJuc02
Bacteria	CAIJMQ01	CAIJMQ01	CAIJMQ01	JAADFP01	JAADFP01	JAADFP01 sp013152825	NrdD	NrdDf
Bacteria	CAIJMQ01	CAIJMQ01	CAIJMQ01	CAIJMQ01	CAIJMQ01	CAIJMQ01 sp903821905	NrdD	NrdDf
Bacteria	CAIJMQ01	CAIJMQ01	CAIJMQ01	JAADFP01	JAADFP01	JAADFP01 sp013152825	NrdJ	NrdJuc02
Bacteria	Caldatribacteriota	Caldatribacteriia	Caldatribacteriales	Caldatribacteriaceae	UBA3950	UBA3950 sp002385475	NrdD	NrdDd
Bacteria	Caldatribacteriota	Caldatribacteriia	Caldatribacteriales	Caldatribacteriaceae	JABUEZ01	JABUEZ01 sp013314795	NrdD	NrdDd
Bacteria	Caldatribacteriota	Caldatribacteriia	Caldatribacteriales	UBA8910	SKXZ01	SKXZ01 sp007128145	NrdD	NrdDd
Bacteria	Caldatribacteriota	Caldatribacteriia	Caldatribacteriales	Caldatribacteriaceae	Caldatribacterium	Caldatribacterium californiense_B	NrdD	NrdDd
Bacteria	Caldatribacteriota	Caldatribacteriia	Caldatribacteriales	Caldatribacteriaceae	Caldatribacterium	Caldatribacterium californiense_A	NrdD	NrdDd
Bacteria	Caldisericota	Caldisericia	Cryosericales	Cryosericaceae	Cryosericum	Cryosericum odellii	NrdD	NrdDd
Bacteria	Caldisericota	Caldisericia	Cryosericales	Cryosericaceae	Cryosericum	Cryosericum sp903871855	NrdD	NrdDd
